<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10YUKP.B,D,20240321,000000,101.618,101.618,101.469,101.469,0,0
10YUKP.B,D,20240322,000000,101.689,102.035,101.689,102.035,0,0
10YUKP.B,D,20240325,000000,102.035,102.06,101.353,101.353,0,0
10YUKP.B,D,20240326,000000,101.683,101.683,101.631,101.631,0,0
10YUKP.B,D,20240327,000000,101.694,101.976,101.694,101.976,0,0
10YUKP.B,D,20240328,000000,101.707,101.707,101.707,101.707,0,0
10YUKP.B,D,20240402,000000,102.032,102.032,100.496,100.496,0,0
10YUKP.B,D,20240403,000000,100.488,100.736,100.488,100.736,0,0
10YUKP.B,D,20240404,000000,100.946,101.37,100.946,101.37,0,0
10YUKP.B,D,20240405,000000,101.224,101.224,100.803,100.803,0,0
10YUKP.B,D,20240408,000000,100.803,100.803,100.416,100.445,0,0
10YUKP.B,D,20240409,000000,100.922,101.106,100.922,101.106,0,0
10YUKP.B,D,20240410,000000,100.991,100.991,100.088,100.088,0,0
10YUKP.B,D,20240411,000000,99.175,99.307,99.175,99.307,0,0
10YUKP.B,D,20240412,000000,99.977,99.977,99.977,99.977,0,0
10YUKP.B,D,20240415,000000,99.977,99.977,99.253,99.253,0,0
10YUKP.B,D,20240416,000000,98.975,98.975,98.411,98.411,0,0
10YUKP.B,D,20240417,000000,98.591,98.788,98.591,98.788,0,0
10YUKP.B,D,20240418,000000,99.246,99.246,98.997,98.997,0,0
10YUKP.B,D,20240419,000000,98.992,98.992,98.776,98.776,0,0
10YUKP.B,D,20240422,000000,98.776,99.393,98.776,99.393,0,0
10YUKP.B,D,20240423,000000,99.48,99.48,99.101,99.101,0,0
10YUKP.B,D,20240424,000000,98.765,98.765,98.174,98.174,0,0
10YUKP.B,D,20240425,000000,98.477,98.477,97.954,97.954,0,0
10YUKP.B,D,20240426,000000,98.311,98.53,98.311,98.53,0,0
10YUKP.B,D,20240429,000000,98.53,98.663,98.432,98.663,0,0
10YUKP.B,D,20240430,000000,98.579,98.579,98.247,98.247,0,0
10YUKP.B,D,20240501,000000,97.978,97.978,97.978,97.978,0,0
10YUKP.B,D,20240502,000000,97.978,98.768,97.978,98.768,0,0
10YUKP.B,D,20240503,000000,98.808,99.38,98.808,99.38,0,0
10YUKP.B,D,20240507,000000,99.933,100.249,99.933,100.249,0,0
10YUKP.B,D,20240508,000000,100.205,100.205,100.172,100.172,0,0
10YUKP.B,D,20240509,000000,99.819,100.1,99.819,100.1,0,0
10YUKP.B,D,20240510,000000,100.353,100.353,100.06,100.06,0,0
10YUKP.B,D,20240513,000000,100.06,100.06,99.97,99.97,0,0
10YUKP.B,D,20240514,000000,99.887,99.899,99.887,99.899,0,0
10YUKP.B,D,20240515,000000,100.294,100.589,100.294,100.589,0,0
10YUKP.B,D,20240516,000000,100.589,100.968,100.589,100.795,0,0
10YUKP.B,D,20240517,000000,100.466,100.466,100.248,100.248,0,0
10YUKP.B,D,20240520,000000,100.248,100.248,99.893,99.893,0,0
10YUKP.B,D,20240521,000000,99.893,100.108,99.893,100.108,0,0
10YUKP.B,D,20240522,000000,99.315,99.315,99.269,99.269,0,0
10YUKP.B,D,20240523,000000,99.016,99.016,98.969,98.969,0,0
10YUKP.B,D,20240524,000000,99.064,99.064,99,99.0,0,0
10YUKP.B,D,20240528,000000,99.418,99.418,98.892,98.892,0,0
10YUKP.B,D,20240529,000000,98.479,98.479,98.064,98.064,0,0
10YUKP.B,D,20240530,000000,97.927,98.002,97.927,98.002,0,0
10YUKP.B,D,20240531,000000,98.004,98.6,98.004,98.6,0,0
10YUKP.B,D,20240603,000000,98.6,99.421,98.6,99.421,0,0
10YUKP.B,D,20240604,000000,99.693,99.784,99.693,99.784,0,0
10YUKP.B,D,20240605,000000,99.582,99.582,99.51,99.51,0,0
10YUKP.B,D,20240606,000000,99.651,99.842,99.651,99.842,0,0
10YUKP.B,D,20240607,000000,99.746,99.746,99.05,99.05,0,0
10YUKP.B,D,20240610,000000,99.05,99.05,98.529,98.529,0,0
10YUKP.B,D,20240611,000000,98.721,98.927,98.721,98.927,0,0
10YUKP.B,D,20240612,000000,99.171,100.096,99.171,100.096,0,0
10YUKP.B,D,20240613,000000,99.869,100.076,99.869,100.076,0,0
10YUKP.B,D,20240614,000000,100.717,101.113,100.717,101.113,0,0
10YUKP.B,D,20240617,000000,101.113,101.113,100.398,100.398,0,0
10YUKP.B,D,20240618,000000,100.502,101.058,100.502,101.058,0,0
10YUKP.B,D,20240619,000000,100.685,100.742,100.685,100.742,0,0
10YUKP.B,D,20240620,000000,100.518,100.936,100.518,100.936,0,0
10YUKP.B,D,20240621,000000,101.259,101.259,100.653,100.653,0,0
10YUKP.B,D,20240624,000000,100.653,100.806,100.653,100.806,0,0
10YUKP.B,D,20240625,000000,100.809,100.809,100.711,100.711,0,0
10YUKP.B,D,20240626,000000,100.503,100.503,100.503,100.503,0,0
10YUKP.B,D,20240627,000000,99.869,100.157,99.869,100.157,0,0
10YUKP.B,D,20240628,000000,100.113,100.113,99.699,99.699,0,0
10YUKP.B,D,20240701,000000,99.699,99.699,98.754,98.754,0,0
10YUKP.B,D,20240702,000000,98.97,99.168,98.97,99.168,0,0
10YUKP.B,D,20240703,000000,99.179,99.923,99.179,99.923,0,0
10YUKP.B,D,20240704,000000,99.664,99.664,99.532,99.532,0,0
10YUKP.B,D,20240705,000000,99.758,100.101,99.758,100.101,0,0
10YUKP.B,D,20240708,000000,100.101,100.366,100.101,100.355,0,0
10YUKP.B,D,20240709,000000,100.355,100.355,100.046,100.046,0,0
10YUKP.B,D,20240710,000000,100.342,100.342,100.276,100.276,0,0
10YUKP.B,D,20240711,000000,100.006,100.554,100.006,100.554,0,0
10YUKP.B,D,20240712,000000,100.203,100.311,100.203,100.311,0,0
10YUKP.B,D,20240715,000000,100.311,100.473,100.311,100.438,0,0
10YUKP.B,D,20240716,000000,100.693,100.693,100.661,100.661,0,0
10YUKP.B,D,20240717,000000,100.667,100.667,100.647,100.647,0,0
10YUKP.B,D,20240718,000000,100.724,100.724,100.724,100.724,0,0
10YUKP.B,D,20240719,000000,100.746,100.746,100.24,100.24,0,0
10YUKP.B,D,20240722,000000,100.24,100.24,100.143,100.143,0,0
