<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
10YFRP.B,D,20240321,000000,105.681,105.681,105.354,105.354,0,0
10YFRP.B,D,20240322,000000,105.695,105.844,105.695,105.844,0,0
10YFRP.B,D,20240325,000000,105.844,105.844,105.424,105.424,0,0
10YFRP.B,D,20240326,000000,105.531,105.531,105.512,105.512,0,0
10YFRP.B,D,20240327,000000,105.664,105.966,105.664,105.966,0,0
10YFRP.B,D,20240328,000000,105.709,105.709,105.709,105.709,0,0
10YFRP.B,D,20240402,000000,105.812,105.812,104.782,104.782,0,0
10YFRP.B,D,20240403,000000,104.727,104.858,104.727,104.858,0,0
10YFRP.B,D,20240404,000000,105.024,105.367,105.024,105.367,0,0
10YFRP.B,D,20240405,000000,105.362,105.362,105.031,105.031,0,0
10YFRP.B,D,20240408,000000,105.031,105.031,104.666,104.698,0,0
10YFRP.B,D,20240409,000000,105.023,105.349,105.023,105.349,0,0
10YFRP.B,D,20240410,000000,105.382,105.382,104.709,104.709,0,0
10YFRP.B,D,20240411,000000,104.514,104.514,104.348,104.348,0,0
10YFRP.B,D,20240412,000000,105.136,105.136,105.136,105.136,0,0
10YFRP.B,D,20240415,000000,105.136,105.136,104.639,104.639,0,0
10YFRP.B,D,20240416,000000,104.472,104.472,103.974,103.974,0,0
10YFRP.B,D,20240417,000000,104.111,104.226,104.111,104.226,0,0
10YFRP.B,D,20240418,000000,104.517,104.517,104.166,104.166,0,0
10YFRP.B,D,20240419,000000,104.164,104.164,103.885,103.885,0,0
10YFRP.B,D,20240422,000000,103.885,104.117,103.885,104.117,0,0
10YFRP.B,D,20240423,000000,104.273,104.273,104.237,104.237,0,0
10YFRP.B,D,20240424,000000,103.909,103.909,103.337,103.337,0,0
10YFRP.B,D,20240425,000000,103.518,103.518,103.03,103.03,0,0
10YFRP.B,D,20240426,000000,103.338,103.683,103.338,103.683,0,0
10YFRP.B,D,20240429,000000,103.683,104.098,103.683,104.098,0,0
10YFRP.B,D,20240430,000000,103.926,103.926,103.608,103.608,0,0
10YFRP.B,D,20240502,000000,103.648,104.043,103.648,103.842,0,0
