<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUT.V,D,20220514,000000,1799.6,1799.6,1799.6,1799.6,0.00371349886711,0
XAUT.V,D,20220515,000000,1798.8,1806.9,1796.7,1806.8,33.123316847561,0
XAUT.V,D,20220516,000000,1806.7,1820.7,1785.1,1819.3,58.324152391957,0
XAUT.V,D,20220517,000000,1818.8,1841.3,1815.4,1824.4,76.774882767474,0
XAUT.V,D,20220518,000000,1866.058,1866.071,1864.173,1866.071,40.556004663207,0
XAUT.V,D,20220519,000000,1865.085,1866.718,1864.173,1865.619,57.004812209934,0
XAUT.V,D,20220520,000000,1865.32,1866.619,1864.46,1864.673,617.62441372494,0
XAUT.V,D,20220521,000000,1864.56,1866.058,1864.173,1864.573,29.272092288935,0
XAUT.V,D,20220522,000000,1865.771,1865.971,1844.4,1848.5,35.978959614532,0
XAUT.V,D,20220523,000000,1852.7,1867.5,1840,1847,221.24019789042,0
XAUT.V,D,20220524,000000,1866.058,1866.345,1841.5,1863.987,333.18917232288,0
XAUT.V,D,20220525,000000,1864.673,1866.345,1864.273,1866.245,452.3421798467,0
XAUT.V,D,20220526,000000,1865.346,1866.245,1845.7,1864.833,100.30166111782,0
XAUT.V,D,20220527,000000,1864.846,1866.532,1844.8,1864.833,139.00284187285,0
XAUT.V,D,20220528,000000,1866.052,1866.569,1864.36,1865.589,47.618992599584,0
XAUT.V,D,20220529,000000,1864.56,1866.394,1864.547,1864.784,112.22513407421,0
XAUT.V,D,20220530,000000,1854.4,1864,1850,1858.5,105.41340501637,0
XAUT.V,D,20220531,000000,1858.5,1864.2,1837.2,1838.6,107.45189172267,0
XAUT.V,D,20220601,000000,1838.6,1854,1830.3,1848.8,87.996473714404,0
XAUT.V,D,20220602,000000,1842.7,1869.9,1837.2,1867.4,4.2175091074698,0
XAUT.V,D,20220603,000000,1869.497,1872.31,1837.557,1852.827,207.04994399669,0
XAUT.V,D,20220604,000000,1856.282,1866.243,1834.556,1866.181,395.44759494941,0
XAUT.V,D,20220605,000000,1866.119,1867.111,1864.733,1865.401,43.064596120318,0
XAUT.V,D,20220606,000000,1865.245,1866.868,1864.957,1865.713,1481.4102679435,0
XAUT.V,D,20220607,000000,1841.4,1855.4,1838.2,1853.6,10222.408209561,0
XAUT.V,D,20220608,000000,1852.5,1858.9,1847.7,1855.1,186.1539059645,0
XAUT.V,D,20220609,000000,1865.6,1867.005,1846.755,1866.312,162.50893698183,0
XAUT.V,D,20220610,000000,1866.612,1873.595,1864.423,1864.573,579.7931973861,0
XAUT.V,D,20220611,000000,1864.928,1866.32,1864.504,1865.09,93.456032816705,0
XAUT.V,D,20220612,000000,1866.208,1866.208,1863.837,1866.002,145.89623275786,0
XAUT.V,D,20220613,000000,1864.304,1871.7,1817.6,1821.1,17780.073276598,0
XAUT.V,D,20220614,000000,1815.055,1833.8,1813.739,1815,16083.93251059,0
XAUT.V,D,20220615,000000,1819.5,1839.1,1811.2,1837.2,47362.348115657,0
XAUT.V,D,20220616,000000,1834.28,1859.7,1816,1858.8,71.660705189749,0
XAUT.V,D,20220617,000000,1849.2,1865.89,1837.724,1841.587,644.47889782443,0
XAUT.V,D,20220618,000000,1844.366,1849.487,1823.367,1831.38,1700.3934651148,0
XAUT.V,D,20220619,000000,1840.553,1841.303,1813.875,1832.199,4758.3340527157,0
XAUT.V,D,20220620,000000,1826.406,1835.514,1826.04,1835.195,186.30170348293,0
XAUT.V,D,20220621,000000,1835.413,1842.405,1825.752,1826.888,31.803626137377,0
XAUT.V,D,20220622,000000,1825.473,1842.036,1816.799,1838.6,1291.2584563338,0
XAUT.V,D,20220623,000000,1836.8,1839.2,1829.2,1829.2,290.04833556995,0
XAUT.V,D,20220624,000000,1827.7,1833.4,1825.4,1827.1,141.75831694736,0
XAUT.V,D,20220625,000000,1823.954,1831.395,1816.509,1829.798,87.796649681887,0
XAUT.V,D,20220626,000000,1866.423,1867.79,1818.69,1842.157,557.07412278713,0
XAUT.V,D,20220627,000000,1842.557,1844.642,1841.967,1844.439,44.858840602799,0
XAUT.V,D,20220628,000000,1866.619,1866.619,1864.833,1866.376,156.33151937444,0
XAUT.V,D,20220629,000000,1865.278,1866.32,1821.81,1866.139,309.10167624373,0
XAUT.V,D,20220630,000000,1827.1,1838.2,1805.569,1805.93,5193.9943266023,0
XAUT.V,D,20220701,000000,1801.655,1809.208,1801.474,1809.027,1293.3995527484,0
